Date,Guesses,Word
2023-08-07,5,brook
2023-08-08,4,bully
2023-08-09,4,lover
2023-08-10,3,empty
2023-08-11,4,hello
2023-08-12,3,quick
2023-08-13,3,wrath
2023-08-14,5,snaky
2023-08-15,5,index
2023-08-16,5,scrub
2023-08-17,3,amiss
2023-08-18,5,exact
2023-08-19,5,magma
2023-08-20,4,quest
2023-08-21,4,beach
2023-08-22,4,spice
2023-08-23,5,verve
2023-08-24,4,wordy
2023-08-25,4,ocean
2023-08-26,3,choir
2023-08-28,3,write
2023-08-29,2,caper
2023-08-30,4,audio
2023-08-31,3,bride
2023-09-01,3,space
2023-09-02,3,onion
2023-09-03,3,await
2023-09-04,5,giddy
2023-09-05,3,birch
2023-09-06,4,gnash
2023-09-07,3,dwell
2023-09-08,4,rouse
2023-09-09,4,lucky
2023-09-10,3,quote
2023-09-11,5,older
2023-09-12,3,whisk
2023-09-13,4,clear
2023-09-14,4,rayon
2023-09-15,4,exert
2023-09-16,4,angel
2023-09-17,4,basic
2023-09-18,3,frank
2023-09-19,3,close
2023-09-20,5,score
2023-09-21,3,stone
2023-09-22,4,brush
2023-09-23,3,carol
2023-09-24,2,right
2023-09-25,3,rocky
2023-09-26,4,loyal
2023-09-27,5,smile
2023-09-28,4,coach
2023-09-29,4,azure
2023-09-30,4,daddy
2023-10-01,3,beret
2023-10-02,5,merry
2023-10-03,4,while
2023-10-04,3,spurt
2023-10-05,5,bunch
2023-10-06,3,chime
2023-10-07,4,viola
2023-10-08,4,binge
2023-10-09,3,truth
2023-10-10,3,snail
2023-10-11,5,skunk
2023-10-12,5,knelt
2023-10-13,5,uncle
2023-10-14,4,agent
2023-10-15,4,leaky
2023-10-16,5,graph
2023-10-17,4,adult
2023-10-18,4,mercy
2023-10-19,4,splat
2023-10-20,X,occur
2023-10-21,2,smirk
2023-10-22,4,given
2023-10-23,4,tempo
2023-10-24,3,cause
2023-10-25,5,retry
2023-10-26,4,pique
2023-10-27,4,noble
2023-10-28,3,mason
2023-10-29,3,phony
2023-10-30,3,grail
2023-11-01,3,noise
2023-11-02,3,until
